outGlobalCount,outPhase,outBreathWfm,outHeartWfm,outHeartRate_FFT,outBreathRate_FFT,outBreathRate_Peak,outHeartRate_Peak,outConfidenceMetricHeart,outConfidenceMetricBreath,outEnergyBreath,outEnergyHeart,outBreathWfm_smoothed
,,0.022121727,118.359375,,,,,,,,,0.022121727
,,0.050924122,118.359375,,,,,,,,,0.050924122
,,-0.06780225,118.359375,,,,,,,,,-0.06780225
,,-0.23767684,118.359375,,,,,,,,,-0.23767684
,,-0.28156,118.359375,,,,,,,,,-0.28156
,,-0.17093371,118.359375,,,,,,,,,-0.17093371
,,-0.03145075,118.359375,,,,,,,,,-0.03145075
,,0.029174969,118.359375,,,,,,,,,0.029174969
,,0.018403962,118.359375,,,,,,,,,0.018403962
,,0.006690249,118.359375,,,,,,,,,0.006690249
,,0.032718375,118.359375,,,,,,,,,0.032718375
,,0.07528306,118.359375,,,,,,,,,0.07528306
,,0.093992695,118.359375,,,,,,,,,0.093992695
,,0.069525816,118.359375,,,,,,,,,0.069525816
,,0.016682113,118.359375,,,,,,,,,0.016682113
,,-0.024356956,118.359375,,,,,,,,,-0.024356956
,,-0.022821354,118.359375,,,,,,,,,-0.022821354
,,0.015722413,118.359375,,,,,,,,,0.015722413
,,0.058435783,118.359375,,,,,,,,,0.058435783
,,0.070706815,118.359375,,,,,,,,,0.070706815
,,0.03974422,118.359375,,,,,,,,,0.03974422
,,-0.017493557,118.359375,,,,,,,,,-0.017493557
,,-0.06125868,118.359375,,,,,,,,,-0.06125868
,,-0.049075555,118.359375,,,,,,,,,-0.049075555
,,0.018047275,118.359375,,,,,,,,,0.018047275
,,0.07045986,118.359375,,,,,,,,,0.07045986
,,0.03936966,118.359375,,,,,,,,,0.03936966
,,-0.04632979,118.359375,,,,,,,,,-0.04632979
,,-0.09294785,118.359375,,,,,,,,,-0.09294785
,,-0.06810972,118.359375,,,,,,,,,-0.06810972
,,-0.023133544,118.359375,,,,,,,,,-0.023133544
,,-0.000664026,118.359375,,,,,,,,,-0.000664026
,,0.008185975,118.359375,,,,,,,,,0.008185975
,,0.01745716,118.359375,,,,,,,,,0.01745716
,,0.015448744,118.359375,,,,,,,,,0.015448744
,,-0.009603491,118.359375,,,,,,,,,-0.009603491
,,0.0,,,,,,,,,,0.0
,,0.000185123,,,,,,,,,,0.000185123
,,0.001203671,,,,,,,,,,0.001203671
,,0.002819767,,,,,,,,,,0.002819767
,,0.004686253,,,,,,,,,,0.004686253
,,0.010687374,,,,,,,,,,0.010687374
,,0.01848682,,,,,,,,,,0.01848682
,,0.008987791,,,,,,,,,,0.008987791
,,-0.024428938,46.875,,,,,,,,,-0.024428938
,,-0.053496957,46.875,,,,,,,,,-0.053496957
,,-0.0482816,46.875,,,,,,,,,-0.0482816
,,-0.011116188,46.875,,,,,,,,,-0.011116188
,,0.028302938,46.875,,,,,,,,,0.028302938
,,0.041490734,46.875,,,,,,,,,0.041490734
,,0.028084114,46.875,,,,,,,,,0.028084114
,,0.008304791,46.875,,,,,,,,,0.008304791
,,-0.004925145,46.875,,,,,,,,,-0.004925145
,,-0.00790582,46.875,,,,,,,,,-0.00790582
,,0.002523265,46.875,,,,,,,,,0.002523265
,,0.017326858,46.875,,,,,,,,,0.017326858
,,0.017366048,46.875,,,,,,,,,0.017366048
,,0.001984367,46.875,,,,,,,,,0.001984367
,,-0.007372282,46.875,,,,,,,,,-0.007372282
,,-0.000490924,46.875,,,,,,,,,-0.000490924
,,0.006941371,46.875,,,,,,,,,0.006941371
,,-0.001251992,46.875,,,,,,,,,-0.001251992
,,-0.022263413,46.875,,,,,,,,,-0.022263413
,,-0.04143248,119.53125,,,,,,,,,-0.04143248
,,-0.04751961,119.53125,,,,,,,,,-0.04751961
,,-0.036817394,119.53125,,,,,,,,,-0.036817394
,,-0.004744832,119.53125,,,,,,,,,-0.004744832
,,0.044345327,119.53125,,,,,,,,,0.044345327
,,0.08181954,119.53125,,,,,,,,,0.08181954
,,0.07706031,119.53125,,,,,,,,,0.07706031
,,0.030561768,119.53125,,,,,,,,,0.030561768
,,-0.027656306,119.53125,,,,,,,,,-0.027656306
,,-0.065084055,119.53125,,,,,,,,,-0.065084055
,,-0.06545755,119.53125,,,,,,,,,-0.06545755
,,-0.031189725,119.53125,,,,,,,,,-0.031189725
,,0.016833685,119.53125,,,,,,,,,0.016833685
,,0.044736013,119.53125,,,,,,,,,0.044736013
,,0.030656539,119.53125,,,,,,,,,0.030656539
,,-0.010482561,119.53125,,,,,,,,,-0.010482561
,,-0.04036747,119.53125,,,,,,,,,-0.04036747
,,-0.031300955,119.53125,,,,,,,,,-0.031300955
,,0.012560745,119.53125,,,,,,,,,0.012560745
,,0.056869745,119.53125,,,,,,,,,0.056869745
,,0.06934339,119.53125,,,,,,,,,0.06934339
,,0.04695283,119.53125,,,,,,,,,0.04695283
,,0.009031806,119.53125,,,,,,,,,0.009031806
,,-0.017534744,75.0,,,,,,,,,-0.017534744
,,-0.018858466,75.0,,,,,,,,,-0.018858466
,,-0.023276236,75.0,,,,,,,,,-0.023276236
,,-0.0766529,75.0,,,,,,,,,-0.0766529
,,-0.16316815,75.0,,,,,,,,,-0.16316815
,,-0.20149517,75.0,,,,,,,,,-0.20149517
,,-0.13722613,75.0,,,,,,,,,-0.13722613
,,0.003637537,75.0,,,,,,,,,0.003637537
,,0.14844951,75.0,,,,,,,,,0.14844951
,,0.23107098,75.0,,,,,,,,,0.23107098
,,0.21501121,75.0,,,,,,,,,0.21501121
,,0.11111783,75.0,,,,,,,,,0.11111783
,,-0.005002081,75.0,,,,,,,,,-0.005002081
,,-0.049128525,75.0,,,,,,,,,-0.049128525
,,-0.002701201,75.0,,,,,,,,,-0.002701201
,,0.10109654,75.0,,,,,,,,,0.10109654
,,0.18867442,75.0,,,,,,,,,0.18867442
,,0.160091,80.859375,,,,,,,,,0.160091
,,0.005939603,80.859375,,,,,,,,,0.005939603
,,-0.14530385,80.859375,,,,,,,,,-0.14530385
,,-0.18483436,80.859375,,,,,,,,,-0.18483436
,,-0.16196984,80.859375,,,,,,,,,-0.16196984
,,-0.19146654,80.859375,,,,,,,,,-0.19146654
,,-0.2705739,80.859375,,,,,,,,,-0.2705739
,,-0.26950336,80.859375,,,,,,,,,-0.26950336
,,-0.1042459,80.859375,,,,,,,,,-0.1042459
,,0.13930592,80.859375,,,,,,,,,0.13930592
,,0.28697792,80.859375,,,,,,,,,0.28697792
,,0.25655437,80.859375,,,,,,,,,0.25655437
,,0.124177665,80.859375,,,,,,,,,0.124177665
,,0.020646825,80.859375,,,,,,,,,0.020646825
,,-0.003684457,80.859375,,,,,,,,,-0.003684457
,,0.005513459,80.859375,,,,,,,,,0.005513459
,,-0.009494107,80.859375,,,,,,,,,-0.009494107
,,-0.054551918,80.859375,,,,,,,,,-0.054551918
,,-0.089330286,80.859375,,,,,,,,,-0.089330286
,,-0.076573506,80.859375,,,,,,,,,-0.076573506
,,-0.020365465,80.859375,,,,,,,,,-0.020365465
,,0.042750787,80.859375,,,,,,,,,0.042750787
,,0.079023935,80.859375,,,,,,,,,0.079023935
,,0.08017248,80.859375,,,,,,,,,0.08017248
,,0.056406118,80.859375,,,,,,,,,0.056406118
,,0.0120776,80.859375,,,,,,,,,0.0120776
,,-0.05303724,80.859375,,,,,,,,,-0.05303724
,,-0.112213686,80.859375,,,,,,,,,-0.112213686
,,-0.11449107,80.859375,,,,,,,,,-0.11449107
,,-0.040733676,80.859375,,,,,,,,,-0.040733676
,,0.061515924,80.859375,,,,,,,,,0.061515924
,,0.12215873,80.859375,,,,,,,,,0.12215873
,,0.11621648,80.859375,,,,,,,,,0.11621648
,,0.06451066,80.859375,,,,,,,,,0.06451066
,,-0.006897055,80.859375,,,,,,,,,-0.006897055
,,-0.06574283,80.859375,,,,,,,,,-0.06574283
,,-0.065824196,80.859375,,,,,,,,,-0.065824196
,,-0.001121178,80.859375,,,,,,,,,-0.001121178
,,0.061338786,80.859375,,,,,,,,,0.061338786
,,0.06042918,80.859375,,,,,,,,,0.06042918
,,0.020213708,87.890625,,,,,,,,,0.020213708
